episode,scenario_id,result,steps,time_s,path_len,min_dist_human,start_to_goal,spl,space_compliance,avg_jerk
78,9,success,32,8.028347730636597,53.658713921904564,12.238863945007324,8.179953575134277,0.15244408554106356,1.0,1.6037168502807617
79,11,success,32,8.02587890625,41.46520635485649,10.641582489013672,7.264186382293701,0.17518751311948805,1.0,1.199381947517395
80,7,success,104,26.04696750640869,50.38750031590462,2.3155252933502197,25.403175354003906,0.5041562926269135,1.0,0.2686006426811218
81,5,collision,27,6.762625217437744,39.09290655842051,2.832136869430542,20.113676071166992,0.0,1.0,1.47112238407135
82,6,success,45,11.292955160140991,40.46174657344818,1.9116370677947998,11.031310081481934,0.27263553888998215,1.0,0.7350899577140808
83,9,success,52,13.058171272277832,24.961991980671883,12.203019142150879,12.735504150390625,0.5101958273302768,1.0,0.28753480315208435
84,6,success,46,11.532892942428589,63.4311888217926,1.5664154291152954,11.031310081481934,0.17390987440695713,1.0,1.2662619352340698
85,11,success,32,8.00381875038147,14.73010516166687,7.516647815704346,7.264186382293701,0.49315237756739005,1.0,0.3269859552383423
86,6,success,44,11.019104719161987,35.89294172823429,1.2966161966323853,11.031310081481934,0.3073392580916383,1.0,0.6476165652275085
87,1,success,54,13.532817840576172,24.47875832974387,0.7022396922111511,10.72222900390625,0.43802176807627485,1.0,0.3609282672405243
88,6,success,44,11.032990217208862,54.132096752524376,0.7907195687294006,11.031310081481934,0.20378501375835775,1.0,1.0885337591171265
89,12,success,40,10.013954401016235,41.630617037415504,6.79587459564209,8.375995635986328,0.20119796995702477,1.0,0.9668374061584473
90,4,success,76,19.02744483947754,54.94840168952942,0.7039960622787476,18.227453231811523,0.33171944353906146,1.0,0.5145776867866516
91,1,success,56,14.024970769882202,34.13701683608588,0.8039015531539917,10.72222900390625,0.3140939073672043,1.0,0.5489826202392578
92,9,success,32,8.005329370498657,94.39829351007938,6.236468315124512,8.179953575134277,0.08665361704087227,1.0,3.0055975914001465
93,12,success,39,9.773762941360474,43.12849270552397,7.516647815704346,8.375995635986328,0.19421025662029495,1.0,1.021006464958191
94,5,collision,16,3.9820992946624756,40.8308607339859,3.2518622875213623,20.113676071166992,0.0,1.0,2.8700129985809326
95,6,collision,38,9.514388084411621,46.138572096824646,1.008478045463562,11.031310081481934,0.0,1.0,1.0945942401885986
96,9,success,48,12.030099630355835,76.21084387600422,3.438039541244507,11.931182861328125,0.15655492387330436,1.0,1.4619313478469849
97,9,success,48,12.026885986328125,76.28837610781193,3.438039541244507,11.931182861328125,0.1563958163753124,1.0,1.45574152469635
98,5,collision,16,4.016148328781128,33.76610331237316,2.832137107849121,20.113676071166992,0.0,1.0,2.4047329425811768
99,8,collision,22,5.504148483276367,97.25472521781921,0.8587530851364136,19.18897247314453,0.0,1.0,4.875555515289307
100,4,success,79,19.796366930007935,56.13843733072281,1.0233254432678223,18.227453231811523,0.324687577682826,1.0,0.5221361517906189
101,9,success,38,9.514463901519775,26.251664891839027,2.832137107849121,9.60769271850586,0.3659841293148857,1.0,0.5057862997055054
102,11,success,28,6.9939069747924805,51.08963356912136,12.233739852905273,7.264186382293701,0.14218513375058114,1.0,1.8035904169082642
103,8,collision,15,3.7454018592834473,95.95998649299145,1.7607619762420654,19.834667205810547,0.0,1.0,7.7411370277404785
104,5,collision,16,3.994114875793457,7.1302938759326935,3.3994014263153076,20.113676071166992,0.0,1.0,0.3073264956474304
105,8,collision,16,4.002779722213745,67.00169636309147,1.3940917253494263,17.246936798095703,0.0,1.0,4.883362293243408
106,4,success,76,19.024300813674927,54.96936546266079,0.6336460709571838,18.227453231811523,0.3315929350538518,1.0,0.5163894891738892
107,7,success,84,21.03630232810974,62.70718102157116,2.61531925201416,20.780309677124023,0.3313864431248414,1.0,0.5580072999000549
108,9,success,32,7.9872355461120605,53.65835225582123,12.238863945007324,8.179953575134277,0.15244511303917013,1.0,1.6037007570266724
109,9,success,32,7.997900009155273,75.81418459117413,3.548027276992798,8.188887596130371,0.10801260529660404,1.0,2.358405590057373
110,5,collision,24,6.003297328948975,34.71097210329026,2.2096128463745117,20.113676071166992,0.0,1.0,1.4622870683670044
111,5,collision,15,3.748291492462158,32.513072937726974,2.832136869430542,20.113676071166992,0.0,1.0,2.459099531173706
112,7,success,82,20.533241271972656,35.02661143243313,1.6869497299194336,20.601032257080078,0.5881537326789315,1.0,0.19935250282287598
113,9,success,49,12.248003005981445,94.43236774206161,6.236468315124512,11.931182861328125,0.12634632749988534,1.0,1.810755968093872
114,11,success,31,7.758502244949341,14.38581895828247,33.81512451171875,7.264186382293701,0.5049546642675792,1.0,0.3288525938987732
115,5,collision,29,7.269236326217651,34.473960533738136,3.5402743816375732,20.113676071166992,0.0,1.0,1.0903658866882324
116,7,success,85,21.29827308654785,62.495750680565834,2.587190628051758,20.780309677124023,0.33250756172748924,1.0,0.5327708721160889
117,5,collision,17,4.266534328460693,7.128569096326828,3.3943393230438232,20.113676071166992,0.0,1.0,0.3337883949279785
118,5,collision,18,4.513926982879639,34.64104749262333,3.4601783752441406,20.113676071166992,0.0,1.0,2.042539119720459
119,9,success,32,8.015951871871948,75.80242040753365,3.548027276992798,8.188887596130371,0.10802936835136356,1.0,2.374788284301758
120,1,success,70,17.543793439865112,47.70322651275228,1.7750201225280762,12.787191390991211,0.2680571593532121,1.0,0.6441052556037903
121,1,success,92,23.037513494491577,65.54491219686315,0.682955801486969,16.38355255126953,0.2499591806921913,1.0,0.5613738298416138
122,4,success,77,19.28369450569153,56.44524931907654,1.0218782424926758,18.227453231811523,0.3229227162905147,1.0,0.5337079763412476
123,8,collision,14,3.5009758472442627,95.91420611739159,2.427523136138916,18.375354766845703,0.0,1.0,8.453145980834961
